daty;LPP;Santander;AmRest;AsBis;KGHM;Mbank;Orange;Pekao;Debica;Budimex;Bumech;CCC;CIECH;Comarch;Develia;Dom Developm;Enea;Eurocash;Orlen;Grenevia;Azoty;Handlowy;ING;InterCars;Kerner;Millenium;Neuca;Polenergia;CD Projekt;KETY;WIG;WIBOR3M
2010-03-31;-0,2688819;0,7325991;-3,4615385;9,1319861;11,3111544;12,4148852;4,7407819;5,4705983;13,4403561;29,0314102;31,818134;5,7124303;1,9945519;8,752688;10,8130711;16,8966869;3,6134904;14,8016119;18,5215713;-8,2450987;13,4610962;9,5888904;13,7158258;-2,091101;2,0012672;12,9192413;-0,6938358;5,6599315;0;0,5305275;9,6565104;-1,2048193
2010-04-30;0,2696069;-1,3549161;-7,0385126;-3,5832702;2,9795601;8,4988496;-1,0212893;1,6870621;6,5057442;-1,2936098;27,5862895;5,1326046;-2,2598924;-6,4583097;-6,103442;10,2060734;-2,5058125;14,526799;0,7941684;1,6378797;-6,0806702;1,2499821;4,5599909;0,2756783;9,5529805;11,214127;1,9599912;3,2990382;-4,0021024;3,0464881;1,9994581;-5,8536585
2010-05-31;-3,2433047;-7,6870046;-1,4285714;-4,9623817;-10,8555224;2,6398927;-3,1804795;1,5265688;-14,3934868;5,8658736;-2,0272468;-2,1256876;-14,935084;-8,999247;-2,5981136;-15,5716376;2,4576047;-6,9256159;-1,5622375;-16,0709054;-7,4886699;-6,5493225;-3,2075765;-6,740856;2,6062135;-2,4687379;-3,4118368;-3,4047851;5,0087423;-9,3149383;-4,0768954;0
2010-06-30;-3,7978971;6,4415471;-1,4492754;-8,6994255;-7,2079022;-11,1481216;1,8287014;-7,3568933;-5,2526128;-10,3775525;-2,7587132;-5,4409585;-8,8812141;-13,0774724;-5,988531;-14,6161702;-2,8964893;9,0747894;-7,8385514;-9,5653692;-9,3934681;-2,2440329;0;-6,197154;-3,8891006;-9,7371841;-4,5162615;-3,521995;15,8644062;-5,1377797;-5,1471102;0,2590674
2010-07-31;1,9157116;10,4906355;3,0147059;-1,1844408;20,4285747;13,6098325;11,2120785;5,0623695;6,5509103;8,3446554;18,4400236;3,7141053;7,4089957;6,3206987;4,2393311;8,2525165;3,7086357;5,6026475;10,0582016;4,7674194;11,3113629;10,0397944;3,575324;17,9281309;4,1317235;9,149928;11,0943824;-0,5895507;6,1634937;9,2450722;7,7989465;-1,2919897
2010-08-31;1,4249353;-6,3928233;2,2127052;-6,5062375;0,1881984;-1,5120505;7,7248956;-6,2280676;-1,2216706;-4,00539;1,1374975;-1,8913075;2,0521161;-10,8205488;13,619944;-1,0073539;8,5195172;-1,7757986;-0,4167592;5,0478998;11,9892059;0,7748551;3,2614251;-6,6640516;-2,0638577;-5,3284737;0;-1,2445223;88,3955124;-0,6545824;-0,5864636;-0,2617801
2010-09-30;6,0159052;0,1736951;6,1452514;4,8870379;9,7281284;1,7303533;4,9044868;11,9110787;-1,5445172;3,6219096;-2,308603;6,5235996;-13,4183318;0;-0,59655;1,2923329;4,697391;17,1498937;2,8612108;17,300947;2,0172117;12,5140899;2,1685988;-2,3583506;6,967476;13,5454309;10,9562279;-2,7186132;4,4500813;1,6972552;7,1562543;0,7874016
2010-10-31;5,8305903;-0,0370942;2,6315789;-1,715914;9,1175771;11,4145162;0,9479653;8,3169548;-1,1035341;11,3482236;-7,2729415;7,6526001;-19,430508;6,8669152;-0,6001301;-0,2089015;12,8665876;-0,5590062;0,5236078;-3,0425357;15,2314752;2,6823047;5,3343119;1,2414424;-5,2269051;0,854932;-4,9411503;-2,9405504;-21,3100743;9,8348711;2,1948541;0,2604167
2010-11-30;8,1370277;-19,8195516;-4,3589744;-2,7460776;4,6907069;-2,7427502;-10,9042326;-2,3156405;6,0368483;-5,4285296;-1,9609979;0,158591;6,6716153;2,3085663;-8,4905948;-14,7026789;2,3029939;-0,773555;7,4390626;5,6823439;13,3469985;-0,5544042;-3,338954;-1,734159;7,1145032;-1,608745;-3,4375156;-9,0920484;14,1632891;-0,3364035;-1,8787314;0,7792208
2010-12-31;3,0940062;7,0911566;13,9410188;7,964227;29,0908018;8,5680209;1,0999856;-1,6393296;-2,2401931;0,1987414;-3,3332922;9,6736336;19,6676821;2,4388895;-1,3195439;6,6281644;-2,0358226;0,0387372;6,0158455;7,0693806;40,5497572;4,4743236;6,4328244;5,8850136;11,1928675;-1,637145;3,5598873;11,6694238;13,1413566;7,7064689;4,6930992;1,8041237
2011-01-31;-4,4800507;14,998995;-2,4705882;-9,0495302;-2,7650845;0;2,7750135;-4,4671023;-5,0573276;-0,4973091;13,7935658;-5,8836518;13,047664;7,1435515;1,3371887;10,179519;-4,6408233;22,0764763;4,1450429;15,8217498;8,0141166;2,0212283;-4,7016593;0,0682901;8,7233734;1,8711107;1,3616567;-3,0769706;59,6777336;-0,0788755;-0,7015174;3,5443038
2011-02-28;0,5812533;0,5912221;-10,2533172;-10,9812813;4,339566;2,2360821;2,9297037;-3,8743891;1,2850726;-2,6769821;3,5755964;-6,4012561;12,8717172;5,5538965;11,2474846;-1,0804046;-3,0907853;-1,1141509;-4,3968929;5,477115;4,7478048;-1,981184;0,0596981;1,3868564;2,3486902;12,2463495;5,7076536;-16,6916096;19,5948983;-1,5756631;0,8146234;1,4669927
2011-03-31;-0,9620001;-6,7623512;2,4193548;-2,9494897;2,6794442;10,5580589;1,747926;3,522363;-1,268768;6,3762548;6,9628241;-0,6690575;-0,8061331;0,6842545;-7,7379529;2,1753374;-3,1785502;-0,6495589;15,4563851;16,8832618;-3,8405303;8,0112782;4,8710154;10,8821131;-14,3547524;3,9995527;-0,7257437;9,7962772;38,5161041;2,4090209;2,5008356;0,9638554
2011-04-30;4,3695899;2,7726269;6,824147;2,7197255;8,3810875;0,6991472;-0,2527098;2,2442543;-0,9719641;5,1780972;-1,5314261;-0,8346759;-1,7494155;-3,7104355;1,9485592;-3,5452492;-8,0453353;4,1932359;5,0350408;-5,2061462;6,9031931;-0,9895906;-2,0155774;8,4590806;1,4055954;-6,6431311;-2,5696536;2,9311425;10,852623;2,4805626;2,6249835;2,6252983
2011-05-31;9,7673586;-1,5010087;-4,4226044;-5,8936427;-1,6800716;-1,3014104;2,9139669;1,5679115;-3,0914301;-6,0319602;-2,2222908;-3,47838;-0,7523368;1,3032284;-1,2610418;4,3184085;1,0503947;-10,7835922;-2,349812;8,5829348;0,6384727;-3,4987297;-2,4565575;4,7243965;13,1997201;4,4937134;-2,7549673;-5,1373106;-1,7608117;0,5454915;0,033254;3,4883721
2011-06-30;-5,0846334;-3,061572;0,2570694;-20,6787181;2,5933873;-4,5645248;0,1809869;-4,4139797;-5,8881004;-0,7512141;-6,2498028;0,9632934;-10,0010994;-20,5263996;-11,5446835;4,5382123;-8,6462777;3,0391178;-4,1680152;-4,7426982;-12,160804;-4,2146762;2,7678571;-2,1742363;-6,6875653;-3,2258065;0,3857935;0;-16,0142298;-4,0964146;-3,2208503;5,3932584
2011-07-31;-0,2245296;-7,5590394;-2,0512821;-14,6271423;4,8405273;-2,2740795;4,6860284;-1,7834731;-9,2847408;-10,3811208;-11,6974124;-2,6132369;-17,3056452;-13,0134619;-13,7845247;-7,6488023;4,6764009;-7,7950533;-9,6055699;0,666764;-0,9868421;-5,344224;-1,5073159;-3,3329257;-3,6181253;-1,2965072;-12,8406017;-3,2764091;-9,3331261;-5,3250193;-2,6061069;0,4264392
2011-08-31;-7,8293827;-8,1432556;-3,1413613;-22,7068809;-8,4352556;-13,6609619;-0,8137928;-7,1627524;-1,4000297;-11,7071788;-19,6293214;-20,8893656;-26,2035396;-12,7127882;-19,311735;-31,4905091;-4,6874018;-8,1981447;-15,3639233;-1,3198608;8,4392604;-21,0709163;-5,8807057;-2,7033162;-10,6400039;-6,1907418;-5,4519993;-15,3298931;-25,0008571;-8,1860091;-10,4559385;0,2123142
2011-09-30;-0,2260435;3,611487;-8,7837838;-14,9561842;-25,0590056;-11,9990598;0,5755657;-9,2629893;16,2835846;0,827776;-6,2335465;-0,8212535;-5,502707;-6,4827889;4,1672428;-12,9090599;-7,9438328;-5,0973169;-7,834461;-16,0550683;-3,0803557;6,9250793;-7,4992562;-5,4332663;-6,411266;-7,999508;16,1963092;-2,7338819;-29,8014071;-9,3880766;-9,3638255;0,8474576
2011-10-31;5,0638395;0,0151102;-0,7407407;-17,6008747;17,9418504;13,4748932;-2,8711978;10,2805827;5,090999;9,5891524;26,7755969;3,8011619;1,3334813;-3,8930017;7,9858153;7,4452965;18,0105987;7,6108051;8,1130478;7,563908;-1,5839747;7,9171868;4,5947989;4,3104545;11,7481313;-3,2623228;-5,9048472;8,2218144;52,510537;9,8433471;7,5568447;3,1512605
2011-11-30;-2,6996306;-6,6642206;1,3432836;10,0468656;-14,2414147;-1,679024;9,4734443;-1,146119;-5,7964355;-8,7527618;-13,7930117;1,1092258;18,2767442;0,7879963;-12,945208;6,8874015;-0,5279447;-7,4575941;1,8733985;-2,9571351;-7,094229;-4,5363441;-1,29313;1,7955146;2,7683418;-18,2023404;5,4662615;-4,1191067;-7,5069964;-8,4904092;-4,029673;1,2219959
2011-12-31;-0,1483187;3,8836411;-5,7437408;21,4916598;-16,5256822;-8,8856083;-6,8755735;-3,4847406;-0,9080337;4,7976416;0,4165831;5,6230432;6,751275;9,1300858;-7,4680064;-4,8503038;-4,7340166;20,9364795;-15,6519289;9,5387196;-5,3849912;-5,1612183;2,8802866;-7,0591296;-1,3494403;4,3959448;-3,360411;-20,9842995;4,3551518;7,7287756;-4,826538;0,4024145
2012-01-31;0,0493218;-2,2376183;-0,78125;52,3810938;26,2271165;19,9203013;0,4355242;11,6085354;0;11,1136267;12,0330962;6,1370643;11,9556305;11,8422071;29,903289;13,6407181;0,2241291;5,0694656;8,3157356;8,0138839;10,4217968;10,1527013;4,5802798;8,8652311;-1,3627178;10,5257479;1,0183921;13,095693;15,1809322;2,3936654;8,8636015;0
2012-02-29;19,9798224;1,8141041;10,2362205;5,3495317;5,5101566;2,2019354;-1,8293487;-2,0372235;5,4546055;1,1706353;-6,6667124;7,2411636;-6,0566584;-6,0181676;8,8441281;19,3127223;-7,5138969;6,6694301;-3,2591064;20,9678182;4,6831163;3,1404913;6,4500717;5,8101386;6,2738575;3,5730847;13,1945309;-2,0079158;-3,2949749;15,3272025;1,5461392;-0,6012024
2012-03-31;8,8850774;-6,8257802;1,2857143;7,6475338;-2,8555056;-5,4094612;0,577758;0,3870518;-2,1067851;-0,2300937;-6,5081149;7,377237;-9,8337431;11,4574832;19,5039676;-8,0166353;2,134715;9,4194451;5,1456551;-1,8634268;7,7789995;-0,7065879;0,9683913;1,649805;-6,7981481;1,1475835;1,3288515;15,2940597;17,886986;-3,4806902;-0,7059339;-0,4032258
2012-04-30;7,7796255;-14,6156477;-1,2693935;-11,4158462;-3,0027756;1,2993881;-3,3948685;-4,0564309;-7,0003693;-7,57272;-9,8468357;0,7023671;4,2456085;-4,7552956;-0,6777998;-1,3420178;-2,2997835;9,9829533;-1,4966384;0,2706899;-0,5833971;-1,0435965;-8,3759901;8,1119161;2,4307458;-5,6798062;-1,1874128;-7,0278122;-19,7972606;0,6785809;-2,4075076;0,2024291
2012-05-31;2,1125012;-4,3225884;-5,4285714;9,3261004;-7,7822851;-6,3017376;-2,7864446;-5,1693798;7,1402667;1,6314527;-17,6083299;-8,2077762;5,8733931;-3,6249722;-6,152763;-17,9215485;-3,8978122;0;-9,6209536;12,1957998;12,2943723;-4,7592379;-4,2621071;-2,2073852;-19,424597;-18,0729141;7,330886;12,8894403;-17,1173115;-0,3477724;-6,1580463;3,2323232
2012-06-30;11,7413943;16,9528748;16,3141994;5,6921327;13,2875388;9,6784464;6,2856178;11,6348965;-1,9804436;-21,5181266;11,7712965;11,114143;13,8368949;6,601398;-4,3857777;-4,0919257;-0,8428788;6,9973199;12,5108276;-3,3827536;0,2627145;11,9198243;5,2918503;-0,8183177;8,8418618;8,5290482;0;7,8764196;11,5209634;0;7,9836311;0,3913894
2012-07-31;4,6137324;-5,3281751;-2,5974026;1,9152964;8,578939;-4,0058055;1,1526654;-7,7296;-1,5661747;2,3709766;-6,9529083;-1,694467;-22,8219227;2,6814455;-4,5633989;-4,3742562;-1,8163325;-4,3909947;-4,3046518;1,9996338;22,3690581;3,910779;-6,2495442;-2,2260966;14,6807045;-5,4197455;8,5358902;4,048751;-12,4754455;5,5715463;-1,585288;-0,3898635
2012-08-31;-8,5548238;15,9925702;-1,8666667;-16,6021257;2,5394443;7,0532204;5,3958173;7,7189489;-5,6702948;-14,4606478;-8,7911853;-3,4473482;15,4432442;3,904496;-24,8038992;-1,9348491;8,9980761;2,0422335;9,0781987;9,5580051;-2,5811707;-3,4592424;11,0454263;0,3717081;-2,7198627;0,5727377;4,4951991;9,4360834;-0,8899535;-4,9556677;3,5097678;-2,3483366
